date,ticker,previous_close,close,daily_return
2014-11-17,1180.SR,27.125,32.625,0.202765
2022-02-17,7203.SR,166.4,197.6,0.1875
2022-04-05,2082.SR,143.7126,173.8523,0.209722
2023-06-08,1211.SR,43.5333,65.775,0.510912
2023-06-11,1211.SR,65.775,43.3,-0.341695
