regime,start_date,end_date,duration_days,start_breadth,end_breadth,start_above_tasi_sma200,end_above_tasi_sma200
Risk-Off,2025-01-30,2025-02-04,4,0.5,0.5,True,True
Risk-On,2025-02-05,2025-02-24,13,0.6,0.6,True,True
Risk-Off,2025-02-25,2025-09-22,142,0.5,0.2,True,False
Risk-On,2025-09-24,2025-09-25,2,0.6,0.6,True,True
Risk-Off,2025-09-28,2025-09-30,3,0.4,0.5,False,True
Risk-On,2025-10-01,2025-10-07,5,0.6,0.6,True,True
Risk-Off,2025-10-08,2025-10-13,4,0.5,0.5,True,True
Risk-On,2025-10-14,2025-11-13,23,0.6,0.6,True,True
Risk-Off,2025-11-16,2026-01-13,43,0.5,0.5,False,False
Risk-On,2026-01-14,2026-01-19,4,0.6,0.6,True,True
Risk-Off,2026-01-20,2026-01-21,2,0.6,0.6,False,False
Risk-On,2026-01-22,2026-02-18,20,0.6,0.6,True,True
Risk-Off,2026-02-19,2026-02-19,1,0.5,0.5,True,True
Risk-On,2026-02-23,2026-02-23,1,0.6,0.6,True,True
Risk-Off,2026-02-24,2026-03-05,8,0.5,0.6,False,False
Risk-On,2026-03-08,2026-03-12,5,0.7,0.7,True,True
Risk-Off,2026-03-15,2026-03-15,1,0.6,0.6,False,False
Risk-On,2026-03-16,2026-03-16,1,0.7,0.7,True,True
Risk-Off,2026-03-24,2026-03-24,1,0.7,0.7,False,False
Risk-On,2026-03-25,2026-05-04,29,0.7,0.7,True,True
Risk-Off,2026-05-05,2026-05-06,2,0.4,0.5,True,True
Risk-On,2026-05-07,2026-05-11,3,0.6,0.8,True,True
Risk-Off,2026-05-12,2026-05-13,2,0.5,0.5,True,True
Risk-On,2026-05-14,2026-05-14,1,0.6,0.6,True,True
Risk-Off,2026-05-17,2026-06-08,17,0.4,0.5,True,True
Risk-On,2026-06-09,2026-06-25,13,0.6,0.6,True,True
Risk-Off,2026-06-28,2026-07-01,4,0.5,0.5,True,True
