date,equal_weight_return,tasi_proxy_close,tasi_proxy_sma200,above_tasi_sma200,regime_valid
2014-01-01,0.0,100.0,,False,False
2014-01-02,-0.001523,99.8477,,False,False
2014-01-05,0.000623,99.9099,,False,False
2014-01-06,0.000548,99.9646,,False,False
2014-01-07,0.017869,101.7509,,False,False
2014-01-08,0.027256,104.5243,,False,False
2014-01-09,0.013278,105.9122,,False,False
2014-01-12,0.000531,105.9685,,False,False
2014-01-13,0.00058,106.03,,False,False
2014-01-14,-0.000524,105.9744,,False,False
2014-01-15,0.003405,106.3352,,False,False
2014-01-16,-0.003268,105.9877,,False,False
2014-01-19,-0.014755,104.4239,,False,False
2014-01-20,-0.003334,104.0758,,False,False
2014-01-21,0.008767,104.9882,,False,False
2014-01-22,-0.007252,104.2269,,False,False
2014-01-23,-0.004192,103.79,,False,False
2014-01-26,-0.011393,102.6075,,False,False
2014-01-27,-0.016188,100.9465,,False,False
2014-01-28,0.001266,101.0743,,False,False
2014-01-29,0.010307,102.1161,,False,False
2014-01-30,0.001638,102.2834,,False,False
2014-02-02,0.019042,104.231,,False,False
2014-02-03,-0.003714,103.8439,,False,False
2014-02-04,-0.004618,103.3644,,False,False
2014-02-05,-0.003334,103.0198,,False,False
2014-02-06,0.000599,103.0815,,False,False
2014-02-09,0.012019,104.3204,,False,False
2014-02-10,-0.000476,104.2707,,False,False
2014-02-11,-0.002836,103.975,,False,False
2014-02-12,0.001677,104.1494,,False,False
2014-02-13,0.004605,104.629,,False,False
2014-02-16,0.001989,104.8372,,False,False
2014-02-17,-0.003115,104.5106,,False,False
2014-02-18,0.00044,104.5566,,False,False
2014-02-19,0.001209,104.683,,False,False
2014-02-20,0.000961,104.7836,,False,False
2014-02-23,0.007578,105.5776,,False,False
2014-02-24,0.002694,105.8621,,False,False
2014-02-25,0.003272,106.2084,,False,False
2014-02-26,0.005383,106.7802,,False,False
2014-02-27,0.004577,107.2689,,False,False
2014-03-02,-0.00146,107.1123,,False,False
2014-03-03,-0.00881,106.1687,,False,False
2014-03-04,0.018557,108.1389,,False,False
2014-03-05,-0.00437,107.6663,,False,False
2014-03-06,0.011244,108.877,,False,False
2014-03-09,0.008863,109.8419,,False,False
2014-03-10,-0.001982,109.6242,,False,False
2014-03-11,0.001574,109.7967,,False,False
2014-03-12,-0.005657,109.1757,,False,False
2014-03-13,0.002865,109.4885,,False,False
2014-03-16,0.004213,109.9498,,False,False
2014-03-17,0.000704,110.0272,,False,False
2014-03-18,-0.003703,109.6197,,False,False
2014-03-19,-0.003555,109.23,,False,False
2014-03-20,0.004412,109.712,,False,False
2014-03-23,0.017916,111.6776,,False,False
2014-03-24,0.000639,111.7489,,False,False
